"[101, 7276, 1056, 2487, 1012, 2171, 2013, 2004, 1056, 2487, 1012, 1035, 8909, 1027, 1056, 2475]","[101, 7276, 2516, 2013, 2607, 2177, 2011, 2516, 2383, 4175, 1006, 1008, 1007, 1028, 1015, 102]",college_2,select t1 . name from as t1 . _ id = t2,select title from course group by title having count ( * ) > 1
"[101, 7276, 1056, 2487, 1012, 2171, 2013, 2004, 1056, 2487, 1012, 1035, 8909, 1027, 1056, 2475, 1012, 1035, 8909, 1027, 1056, 2475, 1012, 1035, 8909, 1027, 1056, 2475, 1012, 1035, 8909, 1027, 1056, 2475, 1012, 1035, 8909, 1027, 1056, 2475, 1012, 1035, 8909, 1027, 1056, 2475, 1012, 1035]","[101, 7276, 1056, 2475, 1012, 2171, 1010, 4175, 1006, 1008, 1007, 2013, 3220, 1035, 1999, 1035, 4164, 2004, 1056, 2487, 3693, 3220, 2004, 1056, 2475, 2006, 1056, 2487, 1012, 3220, 1035, 8909, 1027, 1056, 2475, 1012, 3220, 1035, 8909, 2177, 2011, 1056, 2475, 1012, 3220, 1035, 8909, 102]",concert_singer,select t1 . name from as t1 . _ id = t2 . _ id = t2 . _ id = t2 . _ id = t2 . _ id = t2 . _ id = t2 . _,"select t2 . name , count ( * ) from singer _ in _ concert as t1 join singer as t2 on t1 . singer _ id = t2 . singer _ id group by t2 . singer _ id"
"[101, 7276, 4175, 1006, 1008, 1007, 2013, 2073, 1056, 2487, 1012, 1035, 8909, 1027, 1056, 2475, 1012, 1035, 8909, 1027, 1056, 2475, 1012, 1035, 8909, 1027, 1056, 2475, 1012, 1035, 8909, 1027, 1056, 2475, 1012, 1035, 8909, 1027, 1056, 2475, 1012, 1035, 8909, 1027, 1056, 2475, 1012, 1035, 8909, 1027, 1056, 2475, 1012, 1035, 8909, 1027, 1056, 2475, 1012, 1035, 8909, 1027, 1056, 2475, 1012, 1035, 8909, 1027, 1056, 2475, 1012, 1035, 8909, 1027, 1056, 2475, 1012, 1035, 8909, 1027, 1056, 2475]","[101, 7276, 4175, 1006, 1008, 1007, 2013, 2465, 2004, 1056, 2487, 3693, 25612, 2004, 1056, 2475, 2006, 1056, 2487, 1012, 2465, 1035, 3642, 1027, 1056, 2475, 1012, 2465, 1035, 3642, 3693, 2607, 2004, 1056, 2509, 2006, 1056, 2487, 1012, 13675, 2015, 1035, 3642, 1027, 1056, 2509, 1012, 13675, 2015, 1035, 3642, 3693, 2533, 2004, 1056, 2549, 2006, 1056, 2509, 1012, 29466, 1035, 3642, 1027, 1056, 2549, 1012, 29466, 1035, 3642, 2073, 1056, 2549, 1012, 29466, 1035, 2171, 1027, 1005, 9529, 1005, 102]",college_1,select count ( * ) from where t1 . _ id = t2 . _ id = t2 . _ id = t2 . _ id = t2 . _ id = t2 . _ id = t2 . _ id = t2 . _ id = t2 . _ id = t2 . _ id = t2 . _ id = t2 . _ id = t2,select count ( * ) from class as t1 join enroll as t2 on t1 . class _ code = t2 . class _ code join course as t3 on t1 . crs _ code = t3 . crs _ code join department as t4 on t3 . dept _ code = t4 . dept _ code where t4 . dept _ name = ' accounting '
"[101, 7276, 1056, 2487, 1012, 1035, 8909, 2013, 1035, 8909, 1027, 1056, 2475, 1012, 1035, 8909, 1027, 1056, 2475, 1012, 1035, 8909, 1027, 1056, 2475, 1012, 1035, 8909]","[101, 7276, 7909, 1035, 8909, 1010, 3058, 1035, 7909, 1035, 2081, 1010, 3815, 1035, 7909, 2013, 10504, 2073, 7909, 1035, 4118, 1035, 3642, 1027, 1005, 9425, 1005, 102]",insurance_policies,select t1 . _ id from _ id = t2 . _ id = t2 . _ id = t2 . _ id,"select payment _ id , date _ payment _ made , amount _ payment from payments where payment _ method _ code = ' visa '"
"[101, 7276, 1056, 2487, 1012, 2171, 2013, 2073, 1056, 2487, 1012, 2171, 2013, 2073, 1056, 2487, 1012, 1027, 1000, 102]","[101, 7276, 1056, 2487, 1012, 2051, 2013, 7105, 2121, 2004, 1056, 2487, 3693, 3137, 2004, 1056, 2475, 2006, 1056, 2487]",climbing,"select t1 . name from where t1 . name from where t1 . = """,select t1 . time from climber as t1 join mountain as t2 on t1
"[101, 7276, 1056, 2487, 1012, 2171, 2013, 1035, 8909, 2013, 2004, 1056, 2487, 1012, 1035, 8909, 1027, 1056]","[101, 7276, 2792, 1010, 5790, 2013, 2694, 1035, 2186, 2344, 2011, 5790, 4078, 2278, 5787, 1017, 1025, 102]",tvshow,select t1 . name from _ id from as t1 . _ id = t,"select episode , rating from tv _ series order by rating desc limit 3 ;"
"[101, 7276, 2171, 2013, 2073, 1056, 2487, 1012, 2171, 2013, 2073, 1056, 2487, 1012, 2171, 1027, 1000, 102]","[101, 7276, 1056, 2475, 1012, 2171, 2013, 3462, 2004, 1056, 2487, 3693, 2948, 2004, 1056, 2475, 2006, 1056]",flight_1,"select name from where t1 . name from where t1 . name = """,select t2 . name from flight as t1 join aircraft as t2 on t
"[101, 7276, 1056, 2487, 1012, 2171, 2013, 2004, 1056, 2487, 1012, 1035, 8909, 1027, 1056, 2487, 1012, 2171, 2013, 2004, 1056, 2487, 1012, 1035, 8909, 1027, 1056, 2475, 1012, 1035, 8909, 1027, 1056, 2475, 1012, 1035, 8909, 1027, 1056, 2475, 1012, 1035, 8909, 1027, 1056, 2475]","[101, 7276, 1056, 2487, 1012, 5907, 1010, 1056, 2487, 1012, 3063, 1035, 2171, 2013, 3063, 2004, 1056, 2487, 3693, 2299, 2004, 1056, 2475, 2006, 1056, 2487, 1012, 3063, 1035, 2171, 1027, 1056, 2475, 1012, 3063, 1035, 2171, 2344, 2011, 1056, 2475, 1012, 5813, 5787, 1015, 102]",music_1,select t1 . name from as t1 . _ id = t1 . name from as t1 . _ id = t2 . _ id = t2 . _ id = t2 . _ id = t2,"select t1 . gender , t1 . artist _ name from artist as t1 join song as t2 on t1 . artist _ name = t2 . artist _ name order by t2 . resolution limit 1"
"[101, 7276, 1056, 2487, 1012, 2171, 2013, 1035, 8909, 1027, 1056, 2475, 1012, 1035, 8909, 1027, 1056, 2475, 1012, 1035, 8909, 1027, 1056, 2475, 1012, 1035, 8909, 1027, 1056, 2475, 1012, 1035, 8909, 1027, 1056, 2475, 1012, 1035, 8909, 1027, 1056, 2475, 1012, 1035, 8909, 1027, 1056, 2475, 1012, 1035, 8909, 1027, 1056, 2475, 1012, 1035, 8909, 1027, 1056, 2475, 1012, 1035, 8909, 1027, 1056, 2475, 1012, 1035, 8909, 1027, 1056, 2475, 1012, 1035, 8909, 1027, 1056, 2475, 1012, 1035, 8909, 1027, 1056, 2475, 1012, 1035, 8909, 1027]","[101, 7276, 1056, 2487, 1012, 8013, 1035, 8909, 2013, 6304, 2004, 1056, 2487, 3693, 4449, 2004, 1056, 2475, 2006, 1056, 2487, 1012, 8013, 1035, 8909, 1027, 1056, 2475, 1012, 8013, 1035, 8909, 2073, 1056, 2475, 1012, 2344, 1035, 3570, 1027, 1000, 2006, 2346, 1000, 29261, 7276, 1056, 2487, 1012, 8013, 1035, 8909, 2013, 6304, 2004, 1056, 2487, 3693, 4449, 2004, 1056, 2475, 2006, 1056, 2487, 1012, 8013, 1035, 8909, 1027, 1056, 2475, 1012, 8013, 1035, 8909, 2073, 1056, 2475, 1012, 2344, 1035, 3570, 1027, 1000, 12057, 1000, 102]",tracking_orders,select t1 . name from _ id = t2 . _ id = t2 . _ id = t2 . _ id = t2 . _ id = t2 . _ id = t2 . _ id = t2 . _ id = t2 . _ id = t2 . _ id = t2 . _ id = t2 . _ id = t2 . _ id = t2 . _ id =,"select t1 . customer _ id from customers as t1 join orders as t2 on t1 . customer _ id = t2 . customer _ id where t2 . order _ status = "" on road "" intersect select t1 . customer _ id from customers as t1 join orders as t2 on t1 . customer _ id = t2 . customer _ id where t2 . order _ status = "" shipped """
"[101, 7276, 2171, 2013, 2073, 1056, 2487, 1012, 1035, 8909, 1027, 1056, 2475, 1012, 1035, 8909, 1027, 1056, 2475, 1012, 1035, 8909, 1027, 1056, 2475, 1012, 1035, 8909, 1027, 1056, 2475, 1012, 1035, 8909, 1027, 1056, 2475, 1012, 1035, 8909, 1027, 1056, 2475, 1012, 1035, 8909]","[101, 7276, 1056, 2487, 1012, 2266, 1035, 2171, 2013, 2266, 2004, 1056, 2487, 3693, 2283, 2004, 1056, 2475, 2006, 1056, 2487, 1012, 2283, 1035, 8909, 1027, 1056, 2475, 1012, 2283, 1035, 8909, 2073, 1056, 2475, 1012, 2283, 1035, 2171, 999, 1027, 1000, 5082, 2283, 1000, 102]",party_people,select name from where t1 . _ id = t2 . _ id = t2 . _ id = t2 . _ id = t2 . _ id = t2 . _ id = t2 . _ id,"select t1 . member _ name from member as t1 join party as t2 on t1 . party _ id = t2 . party _ id where t2 . party _ name ! = "" progress party """
